Original Degree, Degree when Deleted
13,13
15,14
15,15
15,14
16,14
16,15
18,15
18,14
18,18
18,17
18,16
19,17
19,17
19,16
20,17
20,20
20,17
20,16
21,18
21,20
21,17
21,16
21,21
21,21
22,17
22,19
22,20
22,19
22,16
22,22
22,21
22,15
22,20
22,19
22,22
22,22
23,14
23,18
23,17
23,21
23,18
23,22
23,18
23,19
23,22
23,18
23,16
23,20
23,23
23,14
23,22
23,19
23,21
23,14
23,22
23,23
23,21
23,21
24,19
24,17
24,19
24,24
24,19
24,21
24,16
24,14
24,12
24,15
24,21
24,16
24,15
24,24
24,22
24,17
24,14
24,13
24,22
24,21
24,23
24,22
24,24
24,24
24,22
24,23
24,20
24,20
24,23
24,22
25,14
25,18
25,13
25,18
25,18
25,18
25,22
25,19
25,25
25,14
25,16
25,21
25,20
25,17
25,14
25,23
25,17
25,21
25,20
25,19
25,22
25,21
25,20
25,19
25,17
25,18
25,19
25,22
25,17
25,21
26,22
26,22
26,20
26,23
26,19
26,18
26,22
26,23
26,23
26,25
26,18
26,14
26,18
26,14
26,26
26,23
26,24
26,22
26,24
26,21
26,17
26,21
26,19
26,26
26,22
26,24
26,17
26,11
26,21
26,17
26,23
26,14
26,23
26,24
26,21
26,22
26,19
26,17
26,21
26,22
26,25
26,17
26,25
26,24
26,24
26,23
26,26
27,21
27,21
27,23
27,12
27,20
27,25
27,18
27,20
27,11
27,22
27,17
27,20
27,21
27,22
27,22
27,14
27,20
27,17
27,11
27,16
27,22
27,24
27,21
27,19
27,16
27,18
27,17
27,19
27,18
27,20
27,20
27,20
27,21
27,24
28,24
28,22
28,23
28,22
28,24
28,20
28,13
28,19
28,22
28,16
28,21
28,17
28,23
28,22
28,25
28,17
28,24
28,25
28,16
28,23
28,23
28,22
28,20
28,13
28,21
28,12
28,25
28,19
28,15
28,15
28,18
28,13
28,9
28,8
28,12
28,24
28,18
28,17
28,17
28,18
28,15
28,8
28,17
28,19
28,16
28,23
28,19
28,19
28,13
28,20
28,25
28,21
28,9
28,10
28,14
28,13
28,22
28,10
28,10
28,16
28,23
28,8
28,17
28,28
28,22
28,23
28,20
28,24
28,17
28,22
28,20
28,25
29,20
29,24
29,20
29,14
29,21
29,24
29,16
29,20
29,17
29,28
29,14
29,25
29,10
29,21
29,17
29,8
29,28
29,18
29,23
29,22
29,22
29,11
29,21
29,7
29,18
29,13
29,6
29,19
29,3
29,11
29,21
29,15
29,18
29,18
29,6
29,26
29,20
29,4
29,13
29,18
29,18
29,17
29,22
29,14
29,14
29,21
29,17
29,15
29,8
29,12
29,28
29,6
29,14
29,19
29,12
29,15
29,23
29,24
29,14
29,24
29,22
29,20
29,19
29,18
29,18
30,27
30,26
30,19
30,21
30,11
30,26
30,25
30,16
30,22
30,20
30,21
30,17
30,21
30,15
30,20
30,28
30,17
30,10
30,7
30,23
30,17
30,28
30,2
30,19
30,19
30,30
30,6
30,21
30,28
30,27
30,20
30,24
30,22
30,23
30,18
30,16
30,11
30,22
30,11
30,15
30,12
30,9
30,23
30,12
30,12
30,15
30,26
30,13
30,10
30,11
30,13
30,26
30,25
30,13
30,1
30,19
30,11
30,8
30,11
30,21
30,10
30,9
30,11
30,17
30,7
30,24
30,16
30,22
30,10
30,10
30,19
30,23
30,9
30,16
30,14
30,17
30,9
30,17
30,18
30,24
30,16
30,20
31,20
31,24
31,21
31,21
31,12
31,16
31,15
31,20
31,27
31,27
31,26
31,10
31,13
31,13
31,31
31,6
31,28
31,8
31,21
31,28
31,22
31,18
31,22
31,20
31,23
31,20
31,13
31,19
31,19
31,8
31,23
31,22
31,14
31,21
31,23
31,22
31,21
31,8
31,14
31,4
31,19
31,14
31,15
31,3
31,21
31,17
31,21
31,17
31,19
31,12
31,26
31,24
31,19
31,18
31,16
31,9
31,20
31,12
31,13
31,14
31,13
31,17
32,25
32,22
32,21
32,17
32,20
32,17
32,18
32,17
32,28
32,23
32,17
32,12
32,16
32,24
32,20
32,27
32,22
32,19
32,14
32,17
32,19
32,13
32,16
32,13
32,7
32,18
32,29
32,6
32,5
32,4
32,4
32,2
32,26
32,21
32,19
32,21
32,15
32,19
32,13
32,20
32,16
32,20
32,9
32,13
32,7
32,23
32,19
32,6
32,25
32,19
32,18
32,19
32,17
32,14
32,14
32,24
32,23
32,24
32,5
32,8
32,21
32,20
32,5
32,14
32,30
32,11
32,9
32,29
32,19
33,25
33,19
33,21
33,20
33,17
33,18
33,17
33,18
33,16
33,15
33,13
33,28
33,15
33,25
33,22
33,13
33,21
33,29
33,20
33,18
33,14
33,13
33,19
33,12
33,2
33,13
33,12
33,5
33,15
33,9
33,11
33,24
33,21
33,22
33,20
33,20
33,22
33,19
33,16
33,3
33,9
33,11
33,9
33,2
33,12
33,3
33,17
33,17
33,7
33,14
33,9
33,7
33,30
33,0
33,15
33,32
33,10
33,12
33,15
33,22
33,18
33,23
33,3
33,3
33,19
33,17
34,26
34,28
34,19
34,11
34,15
34,23
34,13
34,12
34,17
34,22
34,14
34,23
34,23
34,19
34,21
34,17
34,19
34,20
34,19
34,30
34,12
34,10
34,9
34,28
34,11
34,15
34,8
34,7
34,7
34,8
34,19
34,18
34,0
34,5
34,11
34,18
34,4
34,19
34,15
34,12
34,0
34,8
34,7
34,23
34,18
34,9
34,14
34,13
34,12
34,12
34,31
34,19
34,15
34,17
34,18
34,13
34,18
34,2
34,1
34,29
34,20
34,23
34,14
35,25
35,24
35,23
35,15
35,24
35,23
35,9
35,17
35,9
35,10
35,12
35,17
35,7
35,17
35,7
35,14
35,16
35,15
35,5
35,14
35,28
35,10
35,25
35,19
35,13
35,12
35,25
35,11
35,22
35,2
35,13
35,12
35,5
35,3
35,25
35,4
35,9
35,11
35,27
35,24
35,17
35,6
35,19
35,16
35,20
35,15
35,14
35,11
35,13
35,13
35,20
35,17
35,12
35,30
35,29
35,21
35,7
35,22
36,18
36,3
36,4
36,12
36,9
36,23
36,14
36,15
36,24
36,3
36,15
36,26
36,6
36,21
36,15
36,16
36,22
36,21
36,18
36,19
36,18
36,18
36,15
36,5
36,11
36,11
36,10
36,30
36,29
36,9
36,29
36,9
36,32
36,8
36,23
36,23
36,18
36,19
36,27
36,26
36,16
37,22
37,21
37,12
37,19
37,18
37,18
37,8
37,10
37,3
37,1
37,16
37,20
37,0
37,14
37,23
37,24
37,5
37,10
37,5
37,16
37,19
37,12
37,6
37,21
37,27
37,8
37,7
37,22
37,22
37,6
37,5
37,25
37,15
37,4
37,3
37,22
37,24
37,22
37,26
37,15
37,10
37,18
37,19
37,18
37,18
37,20
38,17
38,10
38,1
38,15
38,16
38,10
38,21
38,11
38,5
38,11
38,20
38,9
38,10
38,5
38,17
38,19
38,23
38,22
38,18
38,2
38,1
38,13
38,10
38,19
38,13
38,22
38,25
38,11
38,24
38,25
38,21
38,23
38,20
39,15
39,10
39,12
39,14
39,9
39,11
39,10
39,9
39,14
39,17
39,15
39,14
39,10
39,6
39,6
39,11
39,11
39,11
