Original Degree, Degree when Deleted
5,5
5,5
6,6
6,6
6,6
6,6
6,5
6,4
6,6
7,6
7,6
7,5
7,7
7,7
7,6
8,8
8,7
8,6
8,8
8,7
8,8
8,7
8,8
8,8
8,7
8,8
8,7
8,8
8,7
8,5
8,8
8,8
8,8
8,7
8,7
9,9
9,8
9,9
9,8
9,9
9,6
9,9
9,8
9,9
9,9
9,7
9,5
9,9
9,7
9,7
9,5
9,4
9,7
9,7
9,8
9,9
9,9
9,6
9,8
9,9
9,9
9,9
9,5
9,6
9,9
9,8
9,7
9,4
9,9
10,10
10,8
10,10
10,9
10,8
10,10
10,8
10,7
10,10
10,7
10,8
10,9
10,9
10,7
10,7
10,6
10,7
10,6
10,9
10,9
10,8
10,8
10,6
10,7
10,8
10,7
10,8
10,8
10,9
10,10
10,7
10,9
10,7
10,9
10,9
10,8
10,5
10,8
10,4
10,7
10,9
10,9
10,9
11,11
11,6
11,9
11,9
11,8
11,8
11,11
11,11
11,11
11,10
11,9
11,10
11,6
11,6
11,8
11,10
11,7
11,10
11,5
11,4
11,8
11,9
11,6
11,9
11,10
11,6
11,9
11,11
11,8
11,7
11,7
11,8
11,7
11,8
11,7
11,6
11,4
11,11
11,10
11,9
11,9
11,8
11,10
11,11
11,9
11,7
11,7
11,10
11,8
11,10
11,9
11,11
11,10
11,8
11,10
11,9
11,8
11,9
11,11
11,6
11,11
11,10
11,10
11,7
11,8
11,7
12,11
12,9
12,8
12,9
12,10
12,10
12,8
12,11
12,6
12,12
12,12
12,11
12,9
12,9
12,9
12,8
12,10
12,6
12,10
12,7
12,7
12,10
12,10
12,4
12,4
12,10
12,6
12,6
12,10
12,11
12,8
12,3
12,10
12,7
12,5
12,8
12,9
12,11
12,10
12,6
12,8
12,9
12,10
12,9
12,9
12,4
12,9
12,10
12,12
12,7
12,8
12,10
12,11
12,11
12,10
12,8
12,8
12,8
12,7
12,8
12,11
12,9
12,7
12,11
12,11
12,10
12,9
12,10
12,4
12,5
12,9
12,8
12,8
12,4
12,12
12,10
13,9
13,13
13,7
13,6
13,10
13,9
13,8
13,9
13,9
13,12
13,10
13,13
13,12
13,12
13,10
13,12
13,8
13,10
13,13
13,4
13,12
13,12
13,6
13,4
13,9
13,11
13,8
13,6
13,9
13,10
13,10
13,12
13,11
13,11
13,10
13,8
13,11
13,3
13,9
13,7
13,7
13,2
13,6
13,9
13,12
13,10
13,9
13,12
13,8
13,6
13,10
13,7
13,7
13,4
13,8
13,9
13,6
13,6
13,7
13,9
13,8
13,5
13,7
13,5
13,10
13,13
13,9
13,10
13,8
13,8
13,13
13,4
13,12
13,11
13,11
13,11
13,2
13,8
13,1
13,11
13,10
13,8
14,11
14,8
14,14
14,12
14,9
14,11
14,10
14,9
14,10
14,11
14,11
14,8
14,11
14,9
14,9
14,8
14,8
14,9
14,9
14,11
14,10
14,4
14,8
14,6
14,9
14,10
14,9
14,11
14,11
14,8
14,6
14,9
14,10
14,10
14,11
14,9
14,11
14,12
14,11
14,7
14,7
14,9
14,10
14,11
14,8
14,11
14,10
14,11
14,11
14,8
14,11
14,3
14,4
14,5
14,11
14,6
14,6
14,5
14,4
14,11
14,7
14,5
14,5
14,7
14,6
14,1
14,10
14,11
14,8
14,12
14,11
14,10
14,7
14,10
14,9
14,9
14,14
14,8
14,8
14,12
14,11
14,8
14,11
14,13
14,14
14,7
14,5
14,6
14,13
14,14
14,13
14,13
14,5
14,12
14,10
14,10
14,10
14,7
14,13
14,7
14,6
14,12
14,6
14,9
14,8
14,4
14,0
14,9
14,11
14,9
14,9
14,2
14,9
14,5
15,8
15,13
15,12
15,13
15,9
15,10
15,4
15,12
15,11
15,10
15,13
15,9
15,9
15,8
15,5
15,5
15,11
15,11
15,8
15,12
15,5
15,10
15,8
15,7
15,11
15,9
15,11
15,8
15,3
15,6
15,11
15,8
15,11
15,8
15,10
15,10
15,5
15,8
15,11
15,5
15,9
15,10
15,9
15,11
