Color Number, Percentage of Distribution
21,0.017046874
22,0.01703125
23,0.017
17,0.016890625
18,0.016875
6,0.016859375
16,0.01684375
20,0.01684375
25,0.01684375
27,0.016828125
7,0.0168125
13,0.0168125
26,0.0168125
12,0.016796876
15,0.01678125
19,0.01675
24,0.01675
28,0.016734375
10,0.016703125
29,0.016671875
14,0.016640626
33,0.016640626
34,0.016640626
8,0.016609374
31,0.016609374
35,0.01659375
30,0.016578125
11,0.0165625
5,0.016546875
9,0.016546875
32,0.016546875
39,0.01653125
4,0.016515626
2,0.016453125
38,0.016453125
40,0.016453125
36,0.01640625
3,0.016375
37,0.01634375
1,0.0163125
41,0.016203124
44,0.016171874
42,0.016140625
43,0.0160625
46,0.015953125
47,0.01575
48,0.01575
45,0.0156875
49,0.015390625
50,0.015359375
51,0.014921875
52,0.014796875
53,0.0145
54,0.014265625
55,0.01365625
56,0.01353125
57,0.012984375
58,0.0123125
59,0.01140625
60,0.010609375
61,0.009328125
62,0.008328125
63,0.0068125
64,0.005265625
65,0.003890625
66,0.00284375
67,0.002046875
68,0.0013125
69,8.90625E-4
70,3.75E-4
71,1.875E-4
72,7.8125E-5
73,6.25E-5
74,3.125E-5
75,1.5625E-5
76,1.5625E-5
77,1.5625E-5
