Original Degree, Degree when Deleted
2,2
2,2
2,2
2,2
3,3
3,2
3,3
3,3
3,2
3,3
3,2
3,3
3,3
3,3
3,3
3,3
4,4
4,2
4,4
4,3
4,3
4,1
4,4
4,4
4,3
4,4
4,4
4,4
4,4
4,4
4,4
4,2
4,4
4,4
4,4
5,3
5,1
5,4
5,4
5,2
5,5
5,5
5,4
5,3
5,3
5,4
5,5
5,4
5,4
5,3
5,4
5,4
5,2
5,5
5,5
5,3
5,5
5,4
5,5
5,5
5,5
5,5
5,3
5,3
5,5
5,4
5,5
5,4
5,4
5,5
5,3
5,5
5,4
5,5
5,2
5,5
5,4
6,6
6,6
6,6
6,4
6,4
6,5
6,5
6,6
6,2
6,6
6,5
6,6
6,4
6,1
6,5
6,6
6,1
6,5
6,5
6,6
6,5
6,4
6,6
6,6
6,6
6,4
6,3
6,6
6,5
6,4
6,5
6,5
6,6
6,6
6,5
6,4
6,4
6,5
6,5
6,6
6,1
6,6
6,6
6,5
6,3
6,6
6,6
6,5
6,5
6,4
6,4
6,5
6,3
6,4
6,5
6,6
6,4
6,6
6,5
6,5
6,6
7,6
7,5
7,5
7,4
7,4
7,6
7,6
7,6
7,3
7,5
7,5
7,5
7,4
7,5
7,4
7,6
7,4
7,6
7,5
7,5
7,4
7,5
7,6
7,4
7,1
7,7
7,6
7,5
7,6
7,5
7,6
7,6
7,4
7,3
7,6
7,5
7,3
7,6
7,1
7,2
7,5
7,7
7,3
7,6
7,6
7,7
7,7
7,4
7,5
7,4
7,4
7,7
7,5
7,4
7,4
7,4
7,6
7,7
7,6
7,7
7,1
7,7
7,6
7,5
7,5
7,6
7,5
7,5
7,7
7,6
7,5
7,7
7,7
7,4
7,5
7,7
7,5
7,7
7,5
7,6
7,7
7,6
7,4
7,6
7,5
7,5
7,4
7,4
7,7
8,8
8,8
8,5
8,8
8,3
8,6
8,2
8,6
8,5
8,2
8,6
8,4
8,6
8,1
8,2
8,3
8,3
8,7
8,7
8,2
8,7
8,4
8,6
8,6
8,3
