Original Degree, Degree when Deleted
0,0
1,1
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,2
3,3
3,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,1
4,3
4,4
4,3
4,4
4,3
4,2
4,2
4,4
4,1
4,3
4,3
4,4
4,4
4,4
4,4
4,3
4,4
4,4
4,3
4,4
4,3
4,3
4,4
4,3
4,4
4,4
4,3
4,2
4,2
4,4
4,4
4,4
4,3
4,2
4,2
4,2
4,3
5,4
5,5
5,4
5,3
5,4
5,4
5,5
5,4
5,5
5,5
5,4
5,3
5,5
5,5
5,5
5,4
5,5
5,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,4
5,5
5,4
5,4
5,3
5,5
5,5
5,4
5,4
5,2
5,5
5,4
5,5
5,3
5,5
5,4
5,4
5,4
6,4
6,6
6,4
6,3
6,2
6,4
6,4
6,5
6,4
6,6
6,5
6,3
6,6
6,5
6,6
6,3
6,4
6,6
6,4
6,3
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,4
6,5
6,6
6,4
6,5
6,5
6,5
6,6
6,5
6,5
6,6
6,6
6,4
6,6
6,5
6,6
6,6
6,5
6,4
6,4
6,4
6,3
6,5
6,5
6,5
6,6
6,4
6,4
6,6
6,3
6,5
6,6
6,3
6,5
6,4
6,6
6,5
6,3
6,3
6,6
6,3
6,4
6,3
6,5
6,4
7,7
7,6
7,1
7,4
7,3
7,7
7,7
7,5
7,5
7,7
7,3
7,5
7,2
7,7
7,4
7,4
7,5
7,7
7,4
7,5
7,5
7,6
7,6
7,5
7,5
7,4
7,6
7,4
7,6
7,5
7,7
7,6
7,3
7,6
7,7
7,5
7,7
7,7
7,6
7,6
7,5
7,7
7,5
7,7
7,6
7,6
7,7
7,5
7,6
7,4
7,5
7,4
7,5
7,3
7,4
7,5
7,3
7,3
7,3
7,4
7,1
7,5
7,6
7,4
7,7
7,4
7,3
7,3
7,6
7,3
7,5
7,7
7,7
7,3
7,7
7,5
7,4
7,7
7,7
7,5
7,3
7,3
7,4
8,7
8,6
8,6
8,4
8,3
8,3
8,6
8,6
8,4
8,6
8,7
8,5
8,7
8,6
8,6
8,6
8,3
8,7
8,7
8,4
8,6
8,1
8,8
8,5
8,4
8,4
8,7
8,7
8,5
8,5
8,7
8,7
8,3
8,5
8,5
8,8
8,3
8,7
8,6
8,5
8,5
8,5
8,4
8,3
8,7
8,6
8,7
8,7
8,6
8,4
8,8
8,8
8,5
8,7
8,7
8,6
8,7
8,5
8,6
8,7
8,7
8,6
8,4
8,6
8,8
8,5
8,8
8,2
8,7
8,3
8,5
8,6
8,7
8,6
8,3
8,8
8,5
8,4
8,6
8,1
8,7
8,0
8,4
8,4
8,5
8,8
8,2
8,5
8,4
8,8
8,1
8,7
8,0
8,6
8,3
8,7
8,2
8,5
8,5
8,7
8,4
8,2
8,3
8,3
8,2
8,1
8,7
8,5
8,6
8,3
8,0
9,7
9,6
9,4
9,4
9,6
9,8
9,7
9,7
9,6
9,5
9,4
9,3
9,3
9,6
9,2
9,9
9,8
9,3
9,9
9,5
9,7
9,2
9,6
9,5
9,8
9,8
9,9
9,2
9,3
9,3
9,8
9,7
9,4
9,2
9,3
9,2
9,8
9,1
9,1
9,6
9,1
9,5
9,5
9,1
9,7
9,8
9,4
9,8
9,6
9,8
9,6
9,8
9,7
9,7
9,6
9,5
9,5
9,5
9,5
9,6
9,5
9,5
9,4
9,7
9,7
9,4
9,5
9,3
9,2
9,7
9,9
9,8
9,3
9,6
9,6
9,6
9,9
9,4
9,8
9,5
9,6
9,9
9,7
9,7
9,5
9,5
9,5
9,7
9,5
9,7
9,8
9,6
9,7
9,6
9,4
9,6
9,7
9,6
9,5
9,2
9,6
9,6
9,7
9,7
9,7
9,7
9,8
9,4
9,6
9,4
9,7
9,4
9,1
9,7
9,7
9,5
9,6
9,4
9,4
9,6
9,4
9,2
9,2
9,2
9,1
9,4
9,3
10,4
10,3
10,3
10,7
10,2
10,1
10,3
10,0
10,1
10,2
10,7
10,6
10,8
10,2
10,9
10,7
10,8
10,1
10,8
10,0
10,10
10,8
10,6
10,8
10,9
10,8
10,3
10,7
10,6
10,9
10,7
10,7
10,5
10,0
10,7
10,6
10,1
10,4
10,5
10,1
10,0
10,2
10,8
10,2
10,4
10,8
10,5
10,6
10,6
10,3
10,6
10,4
10,5
10,6
10,3
10,2
10,4
10,8
10,5
10,6
10,7
10,8
10,3
10,7
10,7
10,4
10,4
10,4
10,8
10,6
10,8
10,5
10,5
10,8
10,7
10,7
10,5
10,4
10,1
10,10
10,6
10,9
10,5
10,5
10,6
10,6
10,4
10,6
10,1
10,4
10,8
10,8
10,6
10,6
10,1
10,4
10,6
10,5
10,4
10,8
10,3
10,3
10,10
10,6
10,2
10,7
10,3
10,0
10,0
10,2
10,0
11,6
11,8
11,7
11,6
11,5
11,4
11,8
11,8
11,8
11,7
11,9
11,7
11,8
11,7
11,7
11,8
11,4
11,6
11,9
11,7
11,1
11,1
11,5
11,5
11,7
11,7
11,6
11,9
11,7
11,8
11,4
11,7
11,6
11,6
11,5
11,8
11,4
11,9
11,8
11,4
11,1
11,3
11,7
11,4
11,10
11,5
11,7
11,2
11,0
11,7
11,1
11,2
11,1
11,9
11,7
11,4
11,3
11,11
11,9
11,4
11,9
11,4
11,8
11,9
11,4
11,2
11,7
11,4
11,8
11,7
11,8
11,6
11,4
11,3
11,6
11,5
11,3
11,1
11,2
11,4
11,6
11,4
11,3
12,0
12,9
12,5
12,4
12,7
12,9
12,7
12,4
12,3
12,2
12,5
12,10
12,4
12,7
12,11
12,10
12,7
12,3
12,8
12,8
12,4
12,6
12,11
12,7
12,9
12,4
12,0
12,6
12,4
12,7
12,3
12,5
12,3
12,4
12,7
12,7
12,4
12,3
12,2
12,7
12,3
12,3
12,7
12,6
12,8
12,4
12,0
12,2
12,3
12,4
12,6
12,9
12,0
12,9
12,0
12,8
12,10
12,5
12,9
12,8
12,5
12,6
12,10
12,9
12,8
12,6
12,6
12,6
12,5
12,7
12,7
12,6
12,5
12,7
12,6
12,5
12,5
12,4
12,3
12,2
12,1
12,4
12,6
12,4
12,9
12,8
12,6
12,5
12,4
12,5
12,9
12,0
12,10
12,9
12,8
12,1
12,5
12,7
12,7
12,2
13,8
13,7
13,8
13,5
13,7
13,5
13,0
13,7
13,11
13,8
13,10
13,3
13,5
13,6
13,1
13,9
13,10
13,9
13,3
13,8
13,7
13,5
13,4
13,9
13,2
13,1
13,0
13,0
13,0
13,2
13,1
13,5
13,0
13,4
13,4
13,2
13,1
13,0
13,6
13,9
13,9
13,4
13,4
13,5
13,4
13,1
13,9
13,4
13,5
13,4
13,1
13,3
13,1
13,2
13,1
13,2
13,6
13,5
13,4
13,0
13,10
13,9
13,10
13,0
13,12
13,11
13,0
13,1
13,0
14,13
14,4
14,3
14,2
14,9
14,8
14,6
14,2
14,1
14,10
14,9
14,7
14,6
14,8
14,4
14,1
14,3
14,6
14,0
14,2
14,0
14,2
14,7
14,1
14,9
14,0
14,7
14,7
14,2
14,6
14,1
14,1
14,0
14,8
14,7
14,2
14,1
14,0
14,10
14,4
14,8
14,6
14,6
14,12
14,5
14,8
14,4
14,3
14,2
14,1
15,8
15,7
15,5
15,9
15,6
15,6
15,7
15,6
15,5
15,10
15,9
15,3
15,4
15,1
15,0
15,7
15,9
15,6
15,6
15,0
15,5
15,6
15,1
15,5
15,8
15,7
15,5
15,5
15,4
15,3
15,2
15,10
15,10
16,7
16,6
16,8
16,5
16,7
16,5
16,4
16,4
16,3
16,4
16,3
16,1
16,5
16,5
16,5
16,4
16,3
16,2
16,4
16,1
16,0
16,11
16,0
16,10
17,6
17,7
17,4
17,0
17,2
17,1
17,1
17,1
17,3
17,0
17,2
17,10
17,8
17,9
18,5
18,2
18,0
18,0
18,0
18,1
18,0
18,7
19,3
19,1
19,1
19,9
19,8
20,7
20,6
20,5
21,0
21,4
21,3
22,2
22,1
22,0
