Original Degree, Degree when Deleted
8,8
9,8
9,9
10,8
10,10
10,9
11,10
11,11
11,11
11,11
12,9
12,12
12,12
12,11
12,12
12,11
13,13
13,12
13,11
13,10
13,12
13,12
13,11
13,10
13,12
13,11
14,12
14,11
14,10
14,14
15,13
15,11
15,13
15,14
15,15
16,14
16,13
16,12
16,16
16,15
16,14
16,13
16,11
16,15
16,14
16,13
16,12
17,16
17,13
17,15
17,17
17,16
17,13
17,17
17,16
17,15
17,12
18,14
18,17
18,16
18,17
18,18
18,15
18,14
18,13
18,14
18,12
18,12
18,15
18,15
18,17
18,16
18,14
19,18
19,14
19,13
19,17
19,11
19,15
19,19
19,16
19,12
19,13
19,16
19,16
19,17
20,13
20,15
20,12
20,16
20,17
20,17
20,14
20,11
20,11
20,19
20,16
20,18
20,16
20,16
20,15
20,11
20,10
20,16
20,14
20,14
20,16
20,13
20,16
20,13
20,18
20,15
21,18
21,12
21,13
21,13
21,14
21,14
21,16
21,16
21,19
21,20
21,18
21,16
21,15
21,13
21,11
21,8
21,10
21,21
21,21
21,20
21,21
21,21
21,16
21,15
21,17
21,15
22,18
22,17
22,18
22,13
22,12
22,15
22,12
22,19
22,17
22,21
22,13
22,15
22,16
22,12
22,16
22,13
22,16
22,14
22,14
22,12
22,11
22,9
22,8
22,12
22,18
22,18
22,17
22,13
22,16
22,14
23,18
23,15
23,15
23,14
23,12
23,14
23,18
23,13
23,13
23,23
23,12
23,23
23,14
23,11
23,12
23,15
23,10
23,12
23,14
23,11
23,12
23,10
23,15
23,13
23,8
23,12
23,21
23,22
23,21
23,20
23,23
23,17
23,17
23,17
23,15
23,14
23,13
24,14
24,10
24,19
24,21
24,10
24,10
24,7
24,13
24,4
24,6
24,3
24,19
24,24
24,8
24,7
24,23
24,24
24,7
24,18
24,5
24,17
24,5
24,18
24,21
24,21
24,19
24,17
24,22
24,23
24,23
24,22
25,17
25,14
25,14
25,13
25,15
25,16
25,16
25,16
25,16
25,17
25,16
25,17
25,22
25,21
25,5
25,20
25,19
25,3
25,25
25,14
25,22
25,17
25,4
25,12
25,18
25,3
25,18
25,16
25,17
25,16
25,22
25,19
25,23
25,19
25,18
25,18
25,14
26,17
26,16
26,10
26,8
26,11
26,15
26,19
26,15
26,25
26,24
26,24
26,15
26,17
26,24
26,23
26,21
26,2
26,1
26,15
26,24
26,12
26,18
26,20
26,23
26,22
26,20
26,20
26,14
26,24
26,16
26,18
26,19
26,18
26,19
26,24
26,18
26,22
26,17
26,24
26,16
27,20
27,8
27,12
27,14
27,13
27,8
27,11
27,22
27,12
27,22
27,23
27,1
27,21
27,19
27,23
27,23
27,21
27,23
27,22
27,12
27,24
27,26
27,22
27,15
27,22
27,10
27,14
27,20
27,10
27,20
27,18
27,15
27,12
27,23
27,19
27,15
27,19
27,18
28,10
28,12
28,9
28,19
28,13
28,8
28,8
28,18
28,10
28,0
28,21
28,20
28,17
28,21
28,19
28,19
28,15
28,18
28,15
28,19
28,18
28,20
28,20
28,20
28,14
28,28
28,24
28,23
28,22
28,19
28,23
28,14
28,21
28,15
28,18
28,19
28,25
28,17
28,24
28,16
28,24
29,12
29,5
29,6
29,23
29,20
29,6
29,14
29,5
29,24
29,18
29,12
29,21
29,20
29,29
29,21
29,15
29,25
29,22
29,17
29,16
29,15
29,20
29,9
29,19
29,26
29,17
29,15
29,18
29,18
29,28
29,21
29,20
29,17
29,19
29,20
29,18
29,25
29,19
29,6
29,9
29,11
29,11
29,16
29,23
29,20
29,14
29,21
29,20
29,23
29,22
29,11
29,19
30,17
30,21
30,21
30,4
30,3
30,2
30,9
30,25
30,17
30,14
30,20
30,15
30,13
30,8
30,11
30,6
30,8
30,16
30,16
30,18
30,19
30,23
30,16
30,28
30,23
30,22
30,23
30,25
30,24
30,22
30,26
30,23
30,29
30,17
30,19
30,16
30,22
30,20
30,19
30,15
31,14
31,16
31,1
31,12
31,13
31,12
31,0
31,14
31,21
31,14
31,21
31,14
31,8
31,26
31,14
31,11
31,12
31,16
31,6
31,22
31,19
31,10
31,12
31,22
31,15
31,13
31,14
31,16
31,16
31,7
31,15
31,13
31,8
31,18
31,22
31,13
31,16
31,17
31,21
31,16
31,18
31,24
31,13
31,22
31,20
31,25
31,20
31,22
31,22
31,12
32,16
32,12
32,27
32,25
32,28
32,11
32,17
32,19
32,20
32,12
32,10
32,23
32,20
32,6
32,25
32,12
32,6
32,14
32,24
32,30
32,15
32,26
32,28
32,26
32,12
32,20
32,22
32,9
32,18
32,17
32,19
32,13
32,22
32,27
32,25
32,20
32,17
32,23
32,19
32,26
32,20
32,23
32,26
32,15
32,20
32,19
32,18
32,21
32,14
32,14
32,12
33,16
33,18
33,20
33,23
33,15
33,11
33,15
33,15
33,14
33,13
33,12
33,10
33,7
33,9
33,15
33,20
33,27
33,23
33,26
33,16
33,14
33,18
33,15
33,16
33,21
33,11
33,21
33,13
33,11
33,17
33,27
33,18
33,23
33,20
33,27
33,26
33,25
33,19
33,16
33,24
33,20
33,26
33,30
33,20
33,20
33,13
33,10
33,9
33,18
33,13
34,16
34,19
34,19
34,27
34,16
34,8
34,11
34,9
34,7
34,9
34,7
34,6
34,5
34,18
34,19
34,19
34,17
34,5
34,9
34,7
34,30
34,26
34,6
34,16
34,15
34,5
34,16
34,13
34,5
34,23
34,20
34,18
34,25
34,23
34,22
34,19
34,24
34,23
34,14
34,18
34,24
34,18
34,18
34,13
34,15
35,13
35,15
35,19
35,9
35,10
35,4
35,21
35,25
35,18
35,20
35,10
35,22
35,17
35,27
35,24
35,25
35,26
35,18
35,17
35,15
35,8
35,7
35,13
35,19
35,23
35,23
35,20
35,26
35,20
35,28
35,25
35,26
35,21
35,20
35,12
35,7
35,13
35,7
36,15
36,15
36,8
36,3
36,10
36,17
36,18
36,19
36,18
36,17
36,14
36,18
36,20
36,14
36,16
36,18
36,2
36,7
36,16
36,15
36,19
36,25
36,24
36,16
36,16
36,16
36,20
36,18
36,18
36,25
36,23
36,27
36,19
36,18
36,20
36,22
36,29
36,18
36,20
36,25
36,26
36,23
36,25
36,20
36,18
36,15
36,7
36,6
36,26
36,4
36,3
36,5
37,11
37,11
37,6
37,13
37,13
37,11
37,11
37,11
37,9
37,2
37,1
37,0
37,11
37,13
37,11
37,15
37,14
37,13
37,14
37,12
37,14
37,24
37,24
37,23
37,25
37,24
37,18
37,19
37,33
37,29
37,19
37,21
37,17
37,15
37,24
37,15
37,25
37,18
37,2
37,12
38,9
38,7
38,8
38,7
38,6
38,12
38,13
38,7
38,8
38,12
38,16
38,11
38,16
38,14
38,23
38,17
38,19
38,18
38,24
38,17
38,16
38,22
38,30
38,17
38,29
38,18
38,19
38,29
38,21
38,17
38,20
38,21
38,14
38,20
38,21
38,20
38,23
38,28
38,12
38,11
38,8
38,7
38,20
38,6
39,4
39,4
39,3
39,10
39,9
39,10
39,9
39,13
39,12
39,11
39,10
39,13
39,13
39,5
39,8
39,6
39,8
39,19
39,20
39,16
39,15
39,12
39,19
39,14
39,21
39,15
39,17
39,14
39,18
39,14
39,16
39,14
39,9
39,21
39,24
39,7
39,23
40,2
40,1
40,0
40,8
40,7
40,6
40,5
40,6
40,8
40,7
40,9
40,11
40,9
40,10
40,8
40,10
40,13
40,8
40,11
40,12
40,11
40,10
40,9
40,13
40,14
40,21
40,11
40,22
40,20
41,4
41,3
41,5
41,5
41,4
41,4
41,3
41,4
41,11
41,4
41,11
41,8
41,8
41,10
41,7
41,6
41,5
41,9
41,22
41,22
41,22
42,2
42,1
42,0
42,2
42,1
